name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Gingerboy,Asian,4.4,CBD,"27-29 Crossley Street, CBD, Melbourne",CBD,-37.81126279,144.9710057,$65.00 ,Asian
Gami,"Korean, Asian, Fried Chicken",4.4,CBD,"100 Little Lonsdale Street, CBD, Melbourne",CBD,-37.80923034,144.9687701,$30.00 ,Asian
Lucy Liu Kitchen and Bar,Asian,4.4,CBD,"23 Oliver Lane, CBDMelbourne 3000",CBD,-37.81600134,144.9700495,$75.00 ,Asian
Laksa Bar,"Asian, Malaysian",4.1,CBD,"108 Little Lonsdale Street, CBD, Melbourne",CBD,-37.80928888,144.9685679,$30.00 ,Asian
Magic Mountain Saloon,"Asian, Fusion",4.4,CBD,"62 Little Collins Street, CBD, Melbourne",CBD,-37.81288887,144.9715113,$50.00 ,Asian
Oppa Kitchen,"Korean, Asian, Fried Chicken",4,CBD,"271 Swanston Street, CBD, Melbourne",CBD,-37.81185003,144.9647843,$25.00 ,Asian
Sunda,"Vietnamese, Indonesian, Malaysian, Asian",4.3,CBD,"18 Punch Lane, CBD, Melbourne",CBD,-37.81050232,144.9710366,$75.00 ,Asian
Seamstress Dining Room,Asian,4.4,CBD,"Level 1, 113 Lonsdale Street, CBD, Melbourne",CBD,-37.81047901,144.9690383,$65.00 ,Asian
@t Ease - Easy Thai,"Asian, Thai",4.1,CBD,"195 Lonsdale Street, CBD, Melbourne",CBD,-37.81114333,144.966615,$25.00 ,Asian
Hawker Boys,"Asian, Vietnamese",4,CBD,"85 Hardware Lane, CBD, Melbourne",CBD,-37.81295456,144.9608613,$20.00 ,Asian
@Siam Thai Restaurant,"Thai, Asian",4,CBD,"165A Bourke Street, CBD, Melbourne",CBD,-37.81277233,144.9686357,$30.00 ,Asian
Dosirock,"Asian, Korean",4.2,CBD,"Shop 1, 280 King Street, CBD",CBD,-37.81343848,144.9547063,$40.00 ,Asian
Gami,"Korean, Asian, Fried Chicken",4.4,CBD,"Shop G, 535 Little Lonsdale Street, CBD",CBD,-37.81349199,144.9558486,$30.00 ,Asian
Chimac,"Korean, Asian, Korean BBQ, Fried Chicken",4.4,West Melbourne,"Shop 1/39-47 Peel Street, West Melbourne, Melbourne",West Melbourne,-37.80721744,144.9555257,$35.00 ,Asian
Dainty Sichuan - Tina's Noodle Kitchen,Asian,3.6,CBD,"237 Swanston Street, CBD, Melbourne",CBD,-37.812406,144.9650174,$25.00 ,Asian
GJ's Grill,"Asian, Filipino",4.2,CBD,"Shop 2, 243 Franklin Street, CBD, Melbourne",CBD,-37.80979561,144.9568222,$20.00 ,Asian
YOI,"Asian, Indonesian",4.1,CBD,"1/155 Franklin Street, CBD, Melbourne",CBD,-37.8088195,144.9593857,$17.50 ,Asian
Bangkok Jam,"Thai, Asian",4.1,CBD,"107 Little Bourke Street, CBD, Melbourne",CBD,-37.81139629,144.969274,$47.50 ,Asian
Captain Melville,"Modern Australian, Fusion, Asian",4.3,CBD,"34 Franklin Street, CBD, Melbourne",CBD,-37.80767252,144.9616817,$40.00 ,Asian
Goldilocks Bar,"Asian, Bar Food",3.8,CBD,"Level 4, 264 Swanston Street, CBD, Melbourne",CBD,-37.81185427,144.9650972,$40.00 ,Asian
Rice Paper Vietnamese Restaurant,"Asian, Vietnamese",3.8,CBD,"245 Swanston Street, CBD, Melbourne",CBD,-37.81227383,144.96496,$32.50 ,Asian
Seven Star Pocha,"Korean, Asian",3.6,CBD,"8 Healeys Lane, CBD",CBD,-37.81343928,144.9558352,$35.00 ,Asian
Your Thai Rice and Noodle Bar,"Thai, Asian",3.5,CBD,"255 Swanston Street, CBD, Melbourne",CBD,-37.81214722,144.9648947,$22.50 ,Asian
Co Hanh,"Vietnamese, Asian",3.9,CBD,"348 Flinders Lane, CBD, Melbourne",CBD,-37.81772822,144.9625474,$40.00 ,Asian
New Quay Waterfront Buffet,"Asian, Seafood",3.8,"New Quay, Docklands","New Quay, 4-6 Newquay Promenade, Docklands, Melbourne","New Quay, Docklands",-37.81397696,144.9441867,$75.00 ,Asian
Dolan Uyghur Food Heaven,"Asian, Uyghur",4,CBD,"166 Little Lonsdale Street, CBD, Melbourne",CBD,-37.8097519,144.9670384,$30.00 ,Asian
Rock Sugar,"Fusion, Asian, Thai",4.2,South Yarra,"477 Malvern Road, South Yarra, Melbourne",South Yarra,-37.84791145,145.0023738,$40.00 ,Asian
Hana's Kitchen,Asian,3.8,CBD,"344 Little Bourke Street, CBD, Melbourne",CBD,-37.81334074,144.9623751,$25.00 ,Asian
Nasi Lemak House,"Malaysian, Asian",4.1,Carlton,"115 Grattan Street, Carlton, Melbourne",Carlton,-37.80070473,144.9656933,$17.50 ,Asian
Busan,"Korean, Asian, Hot Pot",3.8,CBD,"179 Queen Street, CBD, Melbourne",CBD,-37.81467436,144.9603859,$22.50 ,Asian
Killiney Kopitiam,"Asian, Singaporean, Malaysian",3.9,Carlton,"114 Lygon Street, Carlton, Melbourne",Carlton,-37.80438778,144.9664748,$25.00 ,Asian
Annam,"Asian, Vietnamese",3.8,CBD,"56 Little Bourke Street, CBD, Melbourne",CBD,-37.81086732,144.9707958,$70.00 ,Asian
