name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
The Meat & Wine Co,"BBQ, Steak, Modern Australian",4.4,"Freshwater Place, Southbank","3 Freshwater Place, Southbank, Melbourne","Freshwater Place, Southbank",-37.82150869,144.9620166,$80.00 ,BBQ
B'Churrasco,"BBQ, Brazilian, Steak",4.4,CBD,"61 A'Beckett Street, CBD, Melbourne",CBD,-37.80907803,144.9616311,$60.00 ,BBQ
Squires Loft City Grill Room,"BBQ, South African",4.4,CBD,"535 Little Lonsdale Street, CBD, Melbourne",CBD,-37.81329466,144.9561624,$70.00 ,BBQ
CHEEK,"American, Asian, BBQ",4.3,CBD,"Level 1, 301 Swanston Street, CBD, Melbourne",CBD,-37.81106916,144.9643743,$70.00 ,BBQ
Fancy Hank's,"American, BBQ",3.9,CBD,"Level 1, 79 Bourke Street, CBD, Melbourne",CBD,-37.81205478,144.9711137,$45.00 ,BBQ
San Antone by Bludso's BBQ,"American, BBQ",3.8,"Crown Melbourne, Southbank","Crown Melbourne, Level 1, 8 Whiteman Street, Southbank, Melbourne","Crown Melbourne, Southbank",-37.82414197,144.9576782,$40.00 ,BBQ
Asado,"Argentine, BBQ, Spanish",4.2,Southbank,"6 Riverside Quay, Southbank, Melbourne",Southbank,-37.82089769,144.9641986,$65.00 ,BBQ
Ludlow Bar & Dining Room,"BBQ, European",3.7,Southbank,"6 Riverside Quay, Southbank, Melbourne",Southbank,-37.82063046,144.9639656,$55.00 ,BBQ
Chef David,"Chinese, Hot Pot, Asian, BBQ, Cabinet Food",4.1,CBD,"Level 1, 462 Elizabeth Street, CBD, Melbourne",CBD,-37.80785,144.960397,$60.00 ,BBQ
Hell's Kitchen,"BBQ, American",4,CBD,"20 Centre Place, CBD, Melbourne",CBD,-37.81655675,144.9655391,$25.00 ,BBQ
Ten BBQ & Hotpot Buffet,"Hot Pot, BBQ, Asian",3.7,Southbank,"143 City Road, Southbank, Melbourne",Southbank,-37.82347989,144.9632149,$50.00 ,BBQ
Mansae Korean BBQ & Bar,"Korean, Korean BBQ",4.5,CBD,"120 A'Beckett Street, CBD, Melbourne",CBD,-37.80956304,144.9596073,$50.00 ,BBQ
Minh Xuong Seafood & BBQ,"Chinese, BBQ",3.2,CBD,"209 Russell Street, CBD, Melbourne",CBD,-37.81165322,144.9674293,$20.00 ,BBQ
New Kum Den BBQ  ,"Chinese, BBQ, Cantonese",3.5,CBD,"7-9 Waratah Place, CBD, Melbourne",CBD,-37.81168395,144.9671229,$35.00 ,BBQ
Parrot Seafood BBQ House,"BBQ, Chinese, Seafood",3.9,Flemington,"293 Racecourse Road, Flemington, Melbourne",Flemington,-37.78849578,144.9313412,$40.00 ,BBQ
Rice Paper Scissors,"Asian Fusion, Tapas",4.8,CBD,"15 Hardware Lane, CBD, Melbourne",CBD,-37.814313,144.961402,$40.00 ,BBQ
Nana Thai Style Hotpot & BBQ,"Thai, BBQ, Hot Pot",3.5,CBD,"169 Bourke Street, CBD, Melbourne",CBD,-37.81271087,144.9685803,$0.00 ,BBQ
Paik's BBQ ,"Korean BBQ, Korean",4.2,CBD,"525 Little Lonsdale Street, Lonsdale Street, CBD, Melbourne",CBD,-37.81295668,144.9562734,$40.00 ,BBQ
Melbourne Dae Jang Geum Korean BBQ,"Korean BBQ, Korean",4,CBD,"235 Little Bourke Street, CBD, Melbourne",CBD,-37.81241686,144.9657925,$40.00 ,BBQ
Chin Chin,"Thai, Asian Fusion",4.6,CBD,"125 Flinders Lane, CBD, Melbourne",CBD,-37.81556458,144.9703757,$67.50 ,BBQ
Tao's Asian BBQ Kitchen CBD,"Asian, BBQ",3.8,CBD,"466-468 Little Lonsdale Street, CBD",CBD,-37.81305389,144.9556689,$30.00 ,BBQ
Khabbay Restaurant,"Indian, Pakistani, BBQ",4,Carlton North,"645 Rathdowne Street, Carlton North, Melbourne",Carlton North,-37.79008209,144.9716575,$25.00 ,BBQ
No. 1 Delicious Hot Pot & BBQ,"Chinese, Hot Pot, BBQ",3.7,Carlton,"551 Swanston Street, Carlton, Melbourne",Carlton,-37.80565666,144.9629393,$30.00 ,BBQ
ChangGo,"Korean BBQ, Korean",4.5,CBD,"70 Little La Trobe Street, CBD, Melbourne",CBD,-37.80954264,144.961783,$35.00 ,BBQ
Mahn Doo,"Korean, Asian",4.2,CBD,"365 La Trobe Street, CBD",CBD,-37.81124663,144.9585298,$40.00 ,BBQ
Maha Restaurant,Middle Eastern,4.7,CBD,"21 Bond Street, CBD, Melbourne",CBD,-37.81816682,144.9626845,$150.00 ,BBQ
Smokestak,"American, BBQ, Sandwich",2.9,CBD,"408 Little Collins Street, CBD, Melbourne",CBD,-37.81596373,144.9608864,$17.50 ,BBQ
Panda BBQ Restaurant Bar ,"Chinese, BBQ",3.6,CBD,"Level 2, 202 Bourke Street, CBD, Melbourne",CBD,-37.81288543,144.9671135,$35.00 ,BBQ
Asian BBQ House,"Asian, BBQ, Chinese",3.2,CBD,"Level 1, 295 Exhibition Street, CBD, Melbourne",CBD,-37.80895062,144.9689636,$25.00 ,BBQ
Woodo,"Korean BBQ, Korean, Asian",4.3,CBD,"179 King Street, CBD",CBD,-37.81598094,144.9554124,$45.00 ,BBQ
Meat the Challenge,"American, BBQ",3.1,"St Collins Lane, CBD","St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne","St Collins Lane, CBD",-37.8151355,144.9647257,$25.00 ,BBQ
Zen Charcoal BBQ,"Korean, Korean BBQ, Japanese BBQ, Hot Pot",4.3,South Yarra,"306 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83987856,144.9977286,$40.00 ,BBQ
