name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Brother Baba Budan,Coffee and Tea,4.6,CBD,"359 Little Bourke Street, CBD, Melbourne",CBD,-37.81351662,144.9621062,$7.50 ,Cafe
Le Petit Gateau,"French, Desserts, Coffee and Tea",4.9,CBD,"458 Little Collins Street, CBD, Melbourne",CBD,-37.81634645,144.9596325,$15.00 ,Cafe
Little Rogue,Coffee and Tea,4.7,CBD,"12 Drewery Lane, CBD, Melbourne",CBD,-37.81102546,144.9640518,$10.00 ,Cafe
Patricia Coffee Brewers,Coffee and Tea,4.9,CBD,"493-495 Little Bourke Street, CBD, Melbourne",CBD,-37.81471356,144.9582602,$7.50 ,Cafe
Shortstop Coffee & Donuts,"Desserts, Coffee and Tea",4.6,CBD,"12 Sutherland Street, CBD, Melbourne",CBD,-37.81131762,144.9609662,$10.00 ,Cafe
Matcha by Chokolait,"Coffee and Tea, Desserts",4.5,CBD,"Shop 8, 318, Little Collins Street, CBD, Melbourne",CBD,-37.81486401,144.9640608,$12.50 ,Cafe
Dukes Coffee Roasters,"Coffee and Tea, Desserts",4.7,CBD,"247 Flinders Lane, CBD, Melbourne",CBD,-37.81679062,144.9661526,$10.00 ,Cafe
Koko Black,"Coffee and Tea, Desserts, Sandwich",4.6,CBD,"Royal Arcade, Shop 4, 335 Bourke Street, CBD, Melbourne",CBD,-37.81445505,144.964096,$12.50 ,Cafe
Mork Chocolate Brew House,Desserts,4.6,North Melbourne,"150 Errol Street, North Melbourne, Melbourne",North Melbourne,-37.80153656,144.9500627,$15.00 ,Cafe
Saint Dreux,"Japanese, Sandwich, Coffee and Tea",4.1,"St Collins Lane, CBD","St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne","St Collins Lane, CBD",-37.81517708,144.9647713,$27.50 ,Cafe
Tsujiri,"Japanese, Desserts, Coffee and Tea",3.6,CBD,"146 Swanston Street, CBD, Melbourne",CBD,-37.81427812,144.9660477,$7.50 ,Cafe
Dari Korean Cafe and Bar,"Cafe Food, Korean",4.1,CBD,"27-29 Hardware Lane, CBD, Melbourne",CBD,-37.81403126,144.96139,$22.50 ,Cafe
Brunetti,"Desserts, Coffee and Tea, Cafe Food",4.3,CBD,"250 Flinders Lane, CBD, Melbourne",CBD,-37.81676069,144.9657828,$20.00 ,Cafe
Brown Bagels,"Sandwich, Coffee and Tea, Cafe Food",4.3,CBD,"25 Equitable Place, CBD, Melbourne",CBD,-37.81585063,144.963178,$15.00 ,Cafe
5 & Dime Bagels,"Bakery, Coffee and Tea",4.3,The Archway,"The Archway, 16 Katherine Place, CBD, Melbourne",The Archway,-37.81998026,144.9565158,$20.00 ,Cafe
Spring Street Grocer,"Ice Cream, Cafe Food",4.6,CBD,"157 Spring Street, CBD, Melbourne",CBD,-37.81104797,144.9726969,$12.50 ,Cafe
Mister Close,"Healthy Food, Coffee and Tea, Cafe Food",4.3,Target Centre,"Target Centre, 186 Swanston Street, CBD, Melbourne",Target Centre,-37.8131646,144.9658857,$20.00 ,Cafe
EARL Canteen,"Sandwich, Coffee and Tea",4.4,The Court,"The Court, 500 Bourke Street, CBD, Melbourne",The Court,-37.81494956,144.958735,$20.00 ,Cafe
LuxBite,"Desserts, Coffee and Tea, Cafe Food",4.5,South Yarra,"38 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83860867,144.9877085,$25.00 ,Cafe
Chokolait,"Desserts, Coffee and Tea, Cafe Food",4,Emporium Melbourne,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81270611,144.9639968,$20.00 ,Cafe
Tropicana Juice Food Bar,"Juices, Cafe Food",4.4,CBD,"213 Elizabeth Street, CBD, Melbourne",CBD,-37.81356006,144.9626939,$20.00 ,Cafe
Brunetti,"Desserts, Coffee and Tea, Cafe Food",4.1,Myer Melbourne,"Myer Melbourne, Level 3, 314-336 Bourke Street, CBD, Melbourne",Myer Melbourne,-37.81355052,144.9638037,$15.00 ,Cafe
Cupcake Central,"Desserts, Coffee and Tea",4.3,"Melbourne Central, CBD","Melbourne Central, Level 2, 211 La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81021465,144.9628381,$7.50 ,Cafe
Ganache Chocolate,"French, Desserts, Coffee and Tea",4.3,CBD,"245, Collins Street, CBD, Melbourne",CBD,-37.81591208,144.9655679,$15.00 ,Cafe
A25 Pizzeria - CBD,"Italian, Pizza",4.1,CBD,"399 Lonsdale Street, CBD, Melbourne",CBD,-37.81286794,144.9608164,$40.00 ,Cafe
Cup of Truth,Coffee and Tea,4.3,CBD,"Underground, 12 Campbell Arcade, Degraves Street, CBD, Melbourne",CBD,-37.81780582,144.9659548,$10.00 ,Cafe
Club Colombia,"Colombian, Cafe Food",4,CBD,"Shop 1, 118 Queen Street, CBD, Melbourne",CBD,-37.81580852,144.9612341,$32.50 ,Cafe
Max Brenner,"Desserts, Coffee and Tea",3.8,"QV Centre, CBD","QV Centre, Level 2, 25-27 Red Cape Lane, Little Lonsdale Street, CBD, Melbourne","QV Centre, CBD",-37.81063476,144.9653754,$25.00 ,Cafe
