name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Shanghai Street Dumpling & Mini Juicy Bun,"Chinese, Dumplings",4.5,CBD,"342 Little Bourke Street, CBD, Melbourne",CBD,-37.81330393,144.962422,$25.00 ,Chinese
Wonderbao,"Chinese, Taiwanese",4.7,CBD,"Shop 4, 19-37 A'Beckett Street, CBD, Melbourne",CBD,-37.80897737,144.9627717,$10.00 ,Chinese
HuTong Dumpling Bar,Chinese,4.3,CBD,"14-16 Market Lane, CBD, Melbourne",CBD,-37.81194353,144.9693951,$50.00 ,Chinese
Rose Garden BBQ,"Chinese, BBQ",4.5,CBD,"435 Elizabeth Street, CBD, Melbourne",CBD,-37.80881102,144.9604657,$20.00 ,Chinese
Shandong Mama,"Chinese, Dumplings",4.3,Midcity Arcade,"Midcity Arcade, Ground Level, Shop 7-8, 200 Bourke Street, CBD, Melbourne",Midcity Arcade,-37.81258215,144.9673267,$30.00 ,Chinese
Hawker Chan,Chinese,3.5,CBD,"157 Lonsdale Street, CBD, Melbourne",CBD,-37.81079395,144.9678384,$25.00 ,Chinese
Tim Ho Wan,"Chinese, Yum Cha",3.4,CBD,"Village Centre Arcade, Ground Level, 206 Bourke Street, CBD, Melbourne",CBD,-37.81294449,144.9671165,$25.00 ,Chinese
New Shanghai - Emporium,Chinese,4.2,Emporium Melbourne,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.8123035,144.9633805,$50.00 ,Chinese
Sichuan House,"Asian, Chinese, Sichuan",4.5,CBD,"22-26 Corrs Lane, CBD, Melbourne",CBD,-37.81099049,144.9682665,$40.00 ,Chinese
Secret Kitchen,"Chinese, Yum Cha",4.2,CBD,"222 Exhibition Street, CBD, Melbourne",CBD,-37.81097805,144.9702772,$35.00 ,Chinese
Korchi City,"Korean, Chinese",4.2,CBD,"441 Little Bourke Street, CBD, Melbourne",CBD,-37.81420449,144.9596094,$35.00 ,Chinese
Supper Inn,Chinese,4.2,CBD,"15 Celestial Avenue, CBD, Melbourne",CBD,-37.81190645,144.9662237,$30.00 ,Chinese
Lee Ho Fook,"Asian, Chinese",4.2,CBD,"11-15 Duckboard Place, CBD, Melbourne",CBD,-37.8155757,144.9713551,$90.00 ,Chinese
Oriental Teahouse,"Chinese, Yum Cha",4.1,CBD,"378 Little Collins Street, CBD, Melbourne",CBD,-37.8156398,144.9621045,$25.00 ,Chinese
China Red,Chinese,4.2,CBD,"Shop 6, 206 Bourke Street, CBD, Melbourne",CBD,-37.81259777,144.9668882,$40.00 ,Chinese
Crystal Jade,"Chinese, Seafood",4.3,CBD,"154 Little Bourke Street, CBD, Melbourne",CBD,-37.81169454,144.9680452,$65.00 ,Chinese
TuanTuan Chinese Brasserie,"Chinese, Asian",4,Carlton,"R1/139-151 Queensberry Street, Carlton, Melbourne,",Carlton,-37.80477004,144.9637664,$35.00 ,Chinese
Juicy Bao,"Asian, Chinese",4.1,CBD,"Shop 2, 178-190, Little Bourke Street, CBD, Melbourne",CBD,-37.81199068,144.9670223,$42.50 ,Chinese
Shanghai Village Dumpling,"Chinese, Dumplings",3.8,CBD,"112-114 Little Bourke Street, CBD, Melbourne",CBD,-37.81136689,144.9691574,$25.00 ,Chinese
Sarawak Kitchen,"Chinese, Malaysian",4.2,CBD,"469 Elizabeth Street, CBD, Melbourne",CBD,-37.80797185,144.96013,$17.50 ,Chinese
Lanzhou Beef Noodle Bar,"Chinese, Fast Food",4.4,CBD,"379 Elizabeth Street, CBD, Melbourne",CBD,-37.80981547,144.9610011,$20.00 ,Chinese
Dumplings Plus,"Dumplings, Chinese",4.1,CBD,"269 Swanston Street, CBD, Melbourne",CBD,-37.81191995,144.9647951,$25.00 ,Chinese
Shark Fin Inn,"Chinese, Asian, Yum Cha",4.2,CBD,"50 Little Bourke Street, CBD, Melbourne",CBD,-37.81080216,144.9710564,$55.00 ,Chinese
Han Guuk Guan,"Korean, Chinese, Asian",3.8,CBD,"13 Victoria Street, CBD, Melbourne",CBD,-37.80753213,144.9680245,$25.00 ,Chinese
Laksa King,"Malaysian, Chinese",4.6,Flemington,"6-12 Pin Oak Crescent, Flemington, Melbourne",Flemington,-37.78779575,144.9294969,$35.00 ,Chinese
Shanghai Dumpling House,"Chinese, Asian, Yum Cha",2.2,CBD,"25 Tattersalls Lane, CBD, Melbourne",CBD,-37.81186036,144.9655528,$15.00 ,Chinese
Noodle Express by Dainty Sichuan,"Chinese, Sichuan",4.1,Emporium Melbourne,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81276411,144.9637923,$20.00 ,Chinese
